DATE,US13NUM
1984-01-01,1563
1984-04-01,1558
1984-07-01,1553
1984-10-01,1559
1985-01-01,1670
1985-04-01,1679
1985-07-01,1698
1985-10-01,1705
1986-01-01,1748
1986-04-01,1741
1986-07-01,1758
1986-10-01,1751
1987-01-01,1832
1987-04-01,1819
1987-07-01,1813
1987-10-01,1787
1988-01-01,1799
1988-04-01,1783
1988-07-01,1775
1988-10-01,1780
1989-01-01,1874
1989-04-01,1887
1989-07-01,1886
1989-10-01,1886
1990-01-01,1987
1990-04-01,1978
1990-07-01,1974
1990-10-01,1965
1991-01-01,2039
1991-04-01,2033
1991-07-01,2038
1991-10-01,2021
1992-01-01,2080
1992-04-01,2072
1992-07-01,2082
1992-10-01,2081
1993-01-01,2091
1993-04-01,2071
1993-07-01,2074
1993-10-01,2051
1994-01-01,2133
1994-04-01,2104
1994-07-01,2094
1994-10-01,2075
1995-01-01,2073
1995-04-01,2066
1995-07-01,2063
1995-10-01,2059
1996-01-01,2137
1996-04-01,2115
1996-07-01,2111
1996-10-01,2111
1997-01-01,2184
1997-04-01,2142
1997-07-01,2114
1997-10-01,2117
1998-01-01,2171
1998-04-01,2189
1998-07-01,2177
1998-10-01,2149
1999-01-01,2241
1999-04-01,2241
1999-07-01,2212
1999-10-01,2186
2000-01-01,2259
2000-04-01,2260
2000-07-01,2241
2000-10-01,2229
2001-01-01,2276
2001-04-01,2255
2001-07-01,2260
2001-10-01,2253
2002-01-01,2307
2002-04-01,2302
2002-07-01,2312
2002-10-01,2299
2003-01-01,2380
2003-04-01,2373
2003-07-01,2373
2003-10-01,2371
2004-01-01,2423
2004-04-01,2416
2004-07-01,2388
2004-10-01,2386
2005-01-01,2451
2005-04-01,2425
2005-07-01,2409
2005-10-01,2390
2006-01-01,2412
2006-04-01,2415
2006-07-01,2385
2006-10-01,2377
2007-01-01,2415
2007-04-01,2397
2007-07-01,2384
2007-10-01,2383
2008-01-01,2453
2008-04-01,2485
2008-07-01,2452
2008-10-01,2436
2009-01-01,2493
2009-04-01,2496
2009-07-01,2490
2009-10-01,2471
2010-01-01,2500
2010-04-01,2473
2010-07-01,2464
2010-10-01,2441
2011-01-01,2459
2011-04-01,2443
2011-07-01,2422
2011-10-01,2399
2012-01-01,2411
2012-04-01,2385
2012-07-01,2371
2012-10-01,2350
2013-01-01,2334
2013-04-01,2313
2013-07-01,2291
2013-10-01,2266
2014-01-01,2231
2014-04-01,2206
2014-07-01,2182
2014-10-01,2154
2015-01-01,2116
2015-04-01,2097
2015-07-01,2068
2015-10-01,2038
2016-01-01,2013
2016-04-01,1982
2016-07-01,1961
2016-10-01,1938
2017-01-01,1903
2017-04-01,1891
2017-07-01,1871
2017-10-01,1849
2018-01-01,1821
2018-04-01,1791
2018-07-01,1776
2018-10-01,1748
2019-01-01,1710
